,Unnamed: 0,ChannelStartInKeV,ChannelCount
0,0,0.0009783759,-14.588235294117633
1,1,0.02099808,-11.66176470588234
2,2,0.04101778,-8.735294117647047
3,3,0.06103748,-5.808823529411756
4,4,0.08105718,-2.882352941176462
5,5,0.1010769,0.044117647058831366
6,6,0.1210966,2.9705882352941213
7,7,0.1411163,5.897058823529415
8,8,0.161136,8.823529411764707
9,9,0.1811557,79.47058823529413
10,10,0.2011754,411.1764705882353
11,11,0.2211951,1123.4705882352941
12,12,0.2412148,1778.1176470588236
13,13,0.2612345,2074.8823529411766
14,14,0.2812542,2136.4705882352937
15,15,0.3012739,2144.8823529411766
16,16,0.3212936,2145.4705882352946
17,17,0.3413133,2145.7058823529414
18,18,0.361333,2146.0588235294117
19,19,0.3813527,2146.235294117647
20,20,0.4013724,2146.4705882352937
21,21,0.4213921,2146.588235294118
22,22,0.4414118,2146.7058823529414
23,23,0.4614315,2146.8823529411766
24,24,0.4814512,2146.6470588235297
25,25,0.5014709,2138.2352941176478
26,26,0.5214906,2114.764705882353
27,27,0.5415103,1830.4117647058824
28,28,0.56153,1162.8235294117646
29,29,0.5815497,554.4705882352943
30,30,0.6015694,304.2941176470589
31,31,0.6215891,289.64705882352945
32,32,0.6416088,326.82352941176475
33,33,0.6616285,374.94117647058823
34,34,0.6816482,421.0
35,35,0.7016679,466.4705882352941
36,36,0.7216876,507.8235294117647
37,37,0.7417073,550.1176470588235
38,38,0.761727,593.1176470588235
39,39,0.7817467,635.0588235294118
40,40,0.8017664,678.3529411764706
41,41,0.8217861,721.0
42,42,0.8418058,760.4705882352941
43,43,0.8618255,754.4117647058824
44,44,0.8818452,747.6470588235294
45,45,0.9018649,745.3529411764706
46,46,0.9218846,738.8823529411765
47,47,0.9419043,732.8823529411764
48,48,0.961924,728.8235294117649
49,49,0.9819437,723.0
50,50,1.001963,713.6470588235294
51,51,1.021983,706.0000000000001
52,52,1.042003,699.6470588235294
53,53,1.062023,696.529411764706
54,54,1.082042,690.5882352941177
55,55,1.102062,685.0588235294118
56,56,1.122082,680.0
57,57,1.142101,674.9411764705883
58,58,1.162121,669.8823529411765
59,59,1.182141,668.6470588235295
60,60,1.20216,663.1176470588236
61,61,1.22218,657.0588235294119
62,62,1.2422,650.1764705882354
63,63,1.26222,645.1176470588235
64,64,1.282239,641.7058823529412
65,65,1.302259,635.1176470588235
66,66,1.322279,633.0000000000001
67,67,1.342298,629.4705882352941
68,68,1.362318,626.4705882352941
69,69,1.382338,624.4705882352941
70,70,1.402357,617.9411764705882
71,71,1.422377,615.4117647058824
72,72,1.442397,611.4705882352941
73,73,1.462417,608.2352941176472
74,74,1.482436,601.5882352941177
75,75,1.502456,598.1176470588235
76,76,1.522476,593.8823529411765
77,77,1.542495,591.1764705882354
78,78,1.562515,590.9411764705883
79,79,1.582535,588.8823529411765
80,80,1.602554,585.764705882353
81,81,1.622574,582.1764705882354
82,82,1.642594,576.2352941176471
83,83,1.662614,572.0588235294117
84,84,1.682633,567.7058823529412
85,85,1.702653,566.4705882352941
86,86,1.722673,560.4117647058824
87,87,1.742692,558.5294117647059
88,88,1.762712,557.9411764705883
89,89,1.782732,558.4705882352941
90,90,1.802751,558.7647058823529
91,91,1.822771,559.529411764706
92,92,1.842791,558.0000000000001
93,93,1.862811,558.1176470588235
94,94,1.88283,554.3529411764707
95,95,1.90285,548.0
96,96,1.92287,543.7058823529411
97,97,1.942889,540.3529411764706
98,98,1.962909,539.1764705882354
99,99,1.982929,540.0588235294117
100,100,2.002949,536.0588235294118
101,101,2.022968,533.9411764705883
102,102,2.042988,526.1176470588235
103,103,2.063008,522.8235294117646
104,104,2.083027,521.8823529411766
105,105,2.103047,517.3529411764706
106,106,2.123067,515.4705882352941
107,107,2.143086,511.94117647058823
108,108,2.163106,509.4117647058824
109,109,2.183126,507.0000000000001
110,110,2.203146,502.8823529411766
111,111,2.223165,500.0
112,112,2.243185,499.764705882353
113,113,2.263205,497.82352941176475
114,114,2.283224,495.2941176470589
115,115,2.303244,487.82352941176475
116,116,2.323264,482.17647058823536
117,117,2.343283,477.94117647058823
118,118,2.363303,476.00000000000006
119,119,2.383323,475.5294117647059
120,120,2.403342,473.6470588235295
121,121,2.423362,474.0588235294118
122,122,2.443382,474.3529411764707
123,123,2.463402,474.82352941176475
124,124,2.483421,475.1764705882353
125,125,2.503441,473.1764705882353
126,126,2.523461,467.52941176470597
127,127,2.54348,464.05882352941177
128,128,2.5635,462.88235294117646
129,129,2.58352,461.0588235294118
130,130,2.603539,458.58823529411774
131,131,2.623559,454.5882352941177
132,132,2.643579,454.6470588235294
133,133,2.663599,452.8823529411766
